Communes ,Name,Adresse ,Latitude,Longitude
Beauchamp,Profit Sas ,"8 r Denis Papin, Beauchamp ",49.01707132693421,2.1789158711641523
Bessancourt,Déchetterie de Bessancourt,"Route de Pierrelaye, Bessancourt ",49.03008162111551,2.188369673015084
Cormeilles-en-Parisis,Déchetterie Eco-Site ,"12 rue Marcel Dassault, Le Plessis-Bouchard ",49.00210555619475,2.2221527613821808
Eaubonne,Déchetterie Eco-Site ,"12 rue Marcel Dassault, Le Plessis-Bouchard ",49.00210555619475,2.2221527613821808
Ermont,Déchetterie Eco-Site ,"12 rue Marcel Dassault, Le Plessis-Bouchard ",49.00210555619475,2.2221527613821808
Frépillon ,Déchetterie publique de saint-Ouen-L'Aumone,"25 Av du fief, Saint Ouen L'Aumone ",49.039325332769714,2.1543244092546545
Franconville-la-Garenne,Déchetterie Eco-Site ,"12 rue Marcel Dassault, Le Plessis-Bouchard ",49.00210555619475,2.2221527613821808
Herblay-sur-Seine,Déchetterie intercommunale de Conflas Maurecourt ,"2 rue des Beaux-Champs, Conflans-Sainte-Honorine",49.007754715598985,2.0827401344896357
La Frette-sur-Seine,Déchetterie Azur ,"4 r du CHEM Vert, Argenteuil",48.95845382832279,2.207507524695663
,Azur Syndicat Valorisation des déchets d'Argenteuil ,"2 r CHEM Vert, Argenteuil",48.958860737298686,2.2063492326400946
Le plessis-Bouchard,Déchetterie Eco-Site ,"12 rue Marcel Dassault, Le Plessis-Bouchard ",49.00210555619475,2.2221527613821808
Montigny-lès-Cormeilles,Déchetterie Eco-Site ,"12 rue Marcel Dassault, Le Plessis-Bouchard ",49.00210555619475,2.2221527613821808
Pierrelaye,Déchetterie publique de saint-Ouen-L'Aumone,"25 Av du fief, Saint Ouen L'Aumone ",49.039325332769714,2.1543244092546545
Saint-Leu-La-Forêt,Déchetterie Eco-Site ,"12 rue Marcel Dassault, Le Plessis-Bouchard ",49.00210555619475,2.2221527613821808
Sannois,Déchetterie Eco-Site ,"12 rue Marcel Dassault, Le Plessis-Bouchard ",49.00210555619475,2.2221527613821808
Tavergny,Déchetterie de Bessancourt,"Route de Pierrelaye, Bessancourt ",49.03008162111551,2.188369673015084